제목,링크,접수기간,상태,PDF 파일명,PDF 내용
2025년도 고용창출장려금 및 고용안정장려금 사업 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2136&sst=wr_datetime&sod=desc&page=10,2025.01.01 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 여성기업육성사업 통합공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2133&sst=wr_datetime&sod=desc&page=10,2025.01.01 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 소상공인 정책자금 융자계획 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2132&sst=wr_datetime&sod=desc&page=10,2025.01.02 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년『희망리턴패키지 특화취업지원』소상공인 모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2129&sst=wr_datetime&sod=desc&page=11,2025.01.03 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년『희망리턴패키지 원스톱폐업지원』소상공인 모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2128&sst=wr_datetime&sod=desc&page=11,2025.01.03 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
'25년 초등학부모 10시출근제 도입 중소사업장 장려금 지원사업 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2126&sst=wr_datetime&sod=desc&page=11,2025.01.21 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
협동조합 대상 <신협 얼마에요> 회계 프로그램 무료 지원 안내(선착순 100개소),https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2122&sst=wr_datetime&sod=desc&page=11,2025.01.07 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 중앙부처 및 지자체 창업지원사업 통합공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2116&sst=wr_datetime&sod=desc&page=11,2025.01.01 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 소상공인 고용보험료 지원사업,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2115&sst=wr_datetime&sod=desc&page=11,2025.01.02 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 소상공인 지원사업 통합 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2114&sst=wr_datetime&sod=desc&page=11,2024.12.27 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2110&sst=wr_datetime&sod=desc&page=12,2025.01.02 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 중소기업 정책자금 융자계획 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2109&sst=wr_datetime&sod=desc&page=12,2025.01.02 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
